output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_standardized_residual","jnk","unusedNeighborCountRadius",false,"inactive","E","structurally inactive field confirmed unused or blocked by current event logic",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","rimMetricRadius",false,"output definition","F","not screened in untreated Morris design: Held fixed so the response definition does not change across the sensitivity design",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","rimBuriedNeighborThreshold",false,"output definition","F","not screened in untreated Morris design: Held fixed as an output definition",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","chemoSwitchCeiling",false,"treatment-specific","F","not screened in untreated Morris design: Excluded from untreated screen",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","tumorEventOrder",false,"structural","F","not screened in untreated Morris design: Event ordering is a prohibited biological-logic change in this task",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_standardized_residual","jnk","agentUpdateShuffle",false,"structural stochastic","F","not screened in untreated Morris design: Held fixed; stochastic variability is represented by matched simulation seeds",,,0,0,,0.471829139750,0.624116842463,0.908128375823,0.796205532846,0.961340850317,1.34717586874
"abc_target_01_jnkp_s480_stat","jnk","netN",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.133385715490,0.169066635464,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbN",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.0849410761075,0.0916369672544,15,5,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","pOnMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.223577149529,0.192268170063,16,4,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","pOffMax",true,"ABC-inferred","B","mu-star at/above output Q75 and sigma at/above median",0.358902336148,0.248766797678,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbP",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.131570989023,0.198597452774,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbP",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.0591311076788,0.0870413351826,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","cafDivBoost",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.0854973494020,0.161473480011,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","ecSurvival",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.134261717418,0.240784888282,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","activProbF",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.149517649411,0.228582466984,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbFP",true,"ABC-inferred","C","sigma at/above output Q75 while mu-star below Q75",0.132004874918,0.324702481887,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","activProbM",true,"ABC-inferred","D","mu-star and sigma at/below output medians",0.0992051744507,0.132898074216,17,3,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","activProbE",true,"ABC-inferred","C","intermediate mu-star with above-median variability",0.136894299036,0.189566050493,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","recruitBias",true,"fixed","D","mu-star and sigma at/below output medians",0.114184443382,0.159043179466,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","lambdaCAF",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.216297767493,0.315573199490,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","stressStrength",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.637276412983,0.537803616418,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","lambdaStress",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.493686805412,0.500043133702,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","migrProbP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.256675819598,0.446832739291,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","migrProbN",true,"fixed","D","mu-star and sigma at/below output medians",0.113044426426,0.159241106569,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.0658879751729,0.110799908173,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
