output,output_family,parameter,mu,mu_star,sigma,se_mu_star,median_absolute_ee,iqr_absolute_ee,min_ee,max_ee,n_valid_ee,n_lost_invalid_or_extinct,positive_fraction,negative_fraction,rank_by_mu_star,output_scale_sd,normalized_mu_star,mean_within_point_output_variance,mean_signal_to_noise_ratio
"abc_target_01_jnkp_s480_stat","jnk","clusterRadius",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","deactProbE",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbEN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbMP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","recruitBias",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","fibroblastSignalBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","stressStrength",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","macrophageDaughterActivationBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","initialJnkPositiveTenths",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","lambdaCAF",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbMN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","activProbE",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","endothelialDaughterDivisionBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","divProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","pOffMax",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","divProbFN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","cafDivBoost",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbFP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","dieProbEP",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","netN",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","activProbF",,,,,,,,,0,1,,,,,,,
"abc_target_01_jnkp_s480_stat","jnk","macrophageEndothelialBiasRadius",,,,,,,,,0,1,,,,,,,
